ref	value	footprint
100K1	R	
100K2	R	
100K3	R	
100K4	R	
4.7K1	R	
4.7K2	R	
4.7K3	R	
C1	100uF	
C2	100uF	
C3	100uF	
C4	100uF	
C5	10uF	
C6	10uF	
C7	10uF	
K2	X-STOP	
K3	Y-STOP	
K4	Z-STOP	
K5	E-STOP	
P1	CONN_4	
P2	CONN_4	
P3	HOTBED	
P4	HOTEND	
P5	FAN1	
P6	FAN2	
P7	CONN_2	
P8	CONN_2	
P9	CONN_2	
P10	CONN_2	
P11	PWR HB	
P12	12V PWR	
P13	CONN_1	
P14	CONN_2	
P15	CONN_2	
P16	CONN_4	
P17	CONN_4	
P18	CONN_20	
P19	CONN_20	
P20	CONN_2	
P21	CONN_2	
P22	CONN_2	
P23	CONN_2	
P24	CONN_2	
P25	CONN_2	
P26	MISC-THERM	
P27	E-THERM	
P28	B-THERM	
Q1	RFP30N06LE	
Q2	RFP30N06LE	
Q3	RFP30N06LE	
Q4	RFP30N06LE	
SDCard1	CONN_9	
U1	POLOLU_A4988	
U2	POLOLU_A4988	
U3	POLOLU_A4988	
U4	POLOLU_A4988	
